#{"t_start": 1716624963.8867364, "env_id": "None"}
r,l,t
33.42589,101,20.960224
35.572735,107,21.053866
30.048178,100,21.068894
33.488773,102,21.137024
31.928324,97,21.2096
33.530018,106,21.235204
4.1279626,40,21.267762
35.27921,109,21.304816
35.601444,105,21.403718
33.85282,106,21.435155
34.338734,103,21.462697
4.1944637,43,21.463694
33.53039,101,21.589437
33.522045,103,21.629987
34.61104,105,21.631494
4.1334105,40,21.687608
32.642555,100,21.749714
35.938595,109,21.80032
32.34565,104,21.886497
31.96991,100,21.962158
4.4983454,43,21.977914
31.858738,99,22.005714
4.384912,42,22.026746
4.360167,41,22.042257
4.688477,48,22.104236
4.657971,47,22.117752
34.445328,112,22.187763
32.175045,99,22.251034
32.620674,101,22.266546
4.3433843,42,22.335135
32.333755,101,22.336642
30.061396,94,22.400423
29.450415,92,22.475804
33.114967,101,22.485834
31.213686,95,22.545411
32.535168,101,22.659274
31.617012,100,22.667781
3.9810588,39,22.715743
32.24898,101,22.722262
32.1503,108,22.914243
32.13388,101,22.962984
32.9977,107,22.975504
3.9880252,39,23.027353
4.3782563,43,23.048382
31.802036,106,23.088244
4.7106133,46,23.111275
32.871647,105,23.187515
32.051537,103,23.242104
33.57423,104,23.28316
32.095234,102,23.350782
32.401405,102,23.423695
4.7657504,50,23.438222
32.535694,104,23.451737
32.101154,109,23.585541
33.604218,108,23.600055
32.159092,103,23.61357
32.094303,98,23.795543
28.54103,90,23.798059
24.975836,87,23.80406
4.5460176,45,23.880379
27.70879,90,23.953102
27.222967,88,23.955103
23.962933,83,24.011966
25.126701,89,24.096003
26.477848,93,24.102013
29.781897,94,24.165778
28.409933,90,24.237442
29.912714,93,24.244945
28.892517,94,24.313566
29.943024,94,24.408632
26.77433,91,24.411632
28.64751,94,24.487512
26.548603,90,24.553252
29.371078,92,24.560764
29.79582,92,24.636464
31.762493,98,24.712181
32.14719,99,24.721424
32.06847,99,24.78402
29.253553,92,24.89544
30.553625,96,24.913481
31.513706,99,24.990136
30.427706,94,25.05772
30.374363,94,25.070232
31.743284,97,25.150367
31.851812,101,25.20762
30.882498,97,25.21512
4.752661,49,25.287741
31.685966,97,25.296258
32.45444,102,25.375504
31.76228,102,25.441141
32.099937,104,25.454194
29.947449,93,25.522288
32.379105,98,25.59946
28.598232,90,25.600469
32.040318,97,25.668854
30.251495,94,25.741319
32.807793,97,25.745316
27.908133,90,25.854544
25.730309,89,25.926348
25.7382,89,25.99165
46.215206,168,26.07279
34.365154,105,26.107857
26.411728,90,26.157146
30.798431,94,26.235273
27.97036,93,26.269822
26.02221,88,26.3094
28.854343,93,26.390792
28.873804,93,26.43136
31.783081,102,26.493551
32.752007,102,26.56833
30.610706,94,26.597387
35.40149,113,26.684054
31.393335,105,26.754506
40.97625,127,26.808628
62.00515,183,27.03959
46.836227,143,27.03959
49.112278,159,27.141299
24.510767,94,27.222418
34.018635,104,27.238939
32.32357,102,27.320565
34.311928,112,27.433138
109.76753,342,27.808707
136.60118,500,28.228472
145.29712,444,28.237993
98.799446,262,28.298135
39.981693,131,28.435395
40.54014,129,28.442916
36.262424,115,28.480788
43.604298,134,28.667658
92.02657,249,28.845231
95.35614,266,29.184286
103.587524,416,29.266954
167.53168,419,29.640045
105.591064,301,29.704684
181.0704,500,30.147065
70.9838,252,30.170105
101.596924,331,30.239733
78.159195,355,30.792797
118.56485,398,30.794306
89.51506,500,30.934156
52.824657,212,31.173655
200.43834,500,31.647517
223.7689,500,31.785394
27.619543,110,31.81269
168.76959,500,31.97807
205.82352,500,32.627262
218.28943,500,32.653505
178.98428,500,32.815258
225.4973,500,33.477874
234.57268,500,33.506925
228.24599,500,33.665544
230.46953,500,34.304759
226.25113,500,34.33079
237.2909,500,34.496105
233.3625,500,35.116728
232.92532,500,35.146269
237.54645,500,35.357572
74.049995,226,35.711669
187.20488,500,35.942951
158.48546,500,35.969496
88.180695,265,36.168922
52.480232,216,36.374225
83.15281,246,36.395342
52.494408,202,36.711706
48.16502,217,36.718219
164.5909,486,36.948884
49.16051,194,37.017714
62.119225,231,37.078816
33.634056,138,37.165025
28.3354,132,37.25722
26.92607,147,37.361956
64.89736,260,37.620203
94.54624,321,37.775954
103.73571,325,37.872414
21.12222,122,37.976087
88.44632,339,38.463577
126.34743,500,38.46959
38.117664,199,38.790781
188.99596,500,38.825315
63.156452,301,38.954398
9.624557,103,38.985304
14.2495575,157,39.08391
9.6208105,94,39.164991
14.893007,99,39.205117
32.449543,114,39.277504
14.833162,102,39.321215
22.510082,105,39.363241
38.400173,114,39.448879
47.50365,141,39.536303
39.29297,117,39.54281
14.171866,100,39.603487
50.189793,136,39.782227
51.969807,150,39.792751
37.178913,114,39.806292
11.490719,96,39.953571
20.494247,102,39.969596
63.539032,170,40.054713
13.895724,99,40.098291
6.808178,91,40.104287
31.179865,111,40.273072
23.548702,103,40.309642
30.896845,110,40.324172
20.285177,105,40.432373
17.03522,103,40.467927
34.218952,111,40.503524
32.684986,109,40.609726
58.47087,128,40.671742
38.992237,114,40.677755
7.2968035,92,40.825943
7.82325,93,40.834455
33.316345,173,40.88333
5.6250224,121,41.072451
8.477697,176,41.144253
15.103283,139,41.145254
4.5713725,86,41.282186
30.45989,187,41.367784
36.622463,161,41.415866
50.361515,121,41.485873
62.943962,142,41.599919
59.26757,130,41.622979
78.19223,161,41.744986
17.423319,101,41.760714
16.930304,97,41.769721
16.568619,97,41.905448
37.783195,110,41.910974
22.102522,98,41.922495
14.471387,98,42.05696
32.581913,106,42.078993
56.69178,132,42.144125
33.62913,100,42.282311
32.883736,112,42.319374
31.917519,97,42.351942
32.28169,100,42.466897
36.029613,107,42.512451
31.923603,109,42.552055
4.235921,42,42.592106
4.231677,44,42.634373
35.93324,108,42.675422
32.579063,114,42.803801
35.815266,111,42.832343
32.88516,100,42.839809
4.155226,41,42.866852
4.2082,41,42.909437
3.931972,39,42.912947
4.271778,44,42.955748
4.108084,41,42.991321
4.385993,43,43.000848
4.259575,41,43.045166
4.1852055,44,43.086072
3.9632773,43,43.0946
4.0522003,38,43.179339
4.134158,40,43.253507
4.2192326,40,43.262518
4.2518525,41,43.298596
4.299706,41,43.346819
4.348701,41,43.356349
4.640602,49,43.409382
