#{"t_start": 1716802849.8440201, "env_id": "None"}
r,l,t
-20298.418,42,14.687536
-20379.598,50,14.69504
-20351.182,47,14.701046
-20308.924,43,14.746958
-20279.098,40,14.749465
-20329.43,45,14.764047
-20315.562,44,14.809889
-20365.393,49,14.812395
-20297.188,42,14.818403
-20284.992,41,14.86919
-20318.299,44,14.876699
-20308.889,43,14.882717
-20296.896,42,14.924343
-20337.31,46,14.937861
-20328.924,45,14.948373
-20351.9,47,14.990784
-20296.15,42,14.99724
-20318.508,44,15.005753
-20269.729,39,15.044295
-20266.742,39,15.050816
-20279.135,40,15.056316
-20269.812,39,15.096184
-20268.988,39,15.102705
-20288.826,41,15.113224
-20250.627,37,15.148764
-20277.15,40,15.157783
-20307.3,43,15.181332
-20269.4,39,15.209885
-20268.557,39,15.218393
-20269.686,39,15.233912
-20259.447,38,15.261493
-20268.46,39,15.274002
-20279.477,40,15.292516
-20268.785,39,15.317714
-20288.836,41,15.331048
-20269.12,39,15.344088
-20286.393,41,15.372178
-20277.49,40,15.384693
-20298.305,42,15.405246
-20259.723,38,15.427121
-20279.445,40,15.441646
-20319.64,44,15.461191
-20267.166,39,15.479904
-20289.29,41,15.495927
-20277.129,40,15.52097
-20287.775,41,15.55052
-20268.24,39,15.567552
-20277.621,40,15.594105
-20276.06,40,15.626489
-20259.086,38,15.645524
-20279.045,40,15.677567
-20277.936,40,15.698594
-20277.064,40,15.713125
-20267.643,39,15.739769
-20279.52,40,15.756842
-20289.654,41,15.770366
-20287.168,41,15.790398
-20291.457,41,15.807422
-20276.941,40,15.819937
-20267.805,39,15.847478
-20320.146,44,15.872523
-20297.705,42,15.882044
-20316.236,44,15.904626
-20337.324,46,15.930204
-20382.363,50,15.955756
-20267.514,39,15.966788
-20347.414,47,16.000337
-20307.707,43,16.012424
-20347.797,47,16.025941
-20317.576,44,16.083939
-20288.832,41,16.094468
-20339.12,46,16.124602
-20268.213,39,16.152335
-20327.172,45,16.174364
-20306.963,43,16.196393
-20275.719,40,16.218242
-20340.662,46,16.239271
-20327.346,45,16.256838
-20402.05,52,16.295054
-20325.855,45,16.313585
-20308.748,43,16.336623
-20277.09,40,16.363237
-20325.23,45,16.395777
-20347.598,47,16.423333
-20378.25,50,16.456876
-20359.607,48,16.474394
-20410.559,53,16.502941
-20419.723,54,16.532286
-20299.88,42,16.533289
-20328.564,45,16.566356
-20307.447,43,16.602265
-20379.63,50,16.615288
-20289.193,41,16.633811
-20319.08,44,16.669696
-20324.793,45,16.677691
-20393.098,51,16.702069
-20360.408,48,16.7367
-20298.455,42,16.739697
-20315.312,44,16.76776
-20348.297,47,16.8023
-20375.6,49,16.803301
-20400.193,52,16.842349
-20289.93,41,16.863676
-20361.252,48,16.873187
-20287.615,41,16.898221
-20307.316,43,16.928532
-20326.965,45,16.940041
-20328.346,45,16.978746
-20278.453,40,17.012177
-20317.14,44,17.028692
-20317.94,44,17.069144
-20308.404,43,17.090908
-20350.393,47,17.116461
-20316.336,44,17.167569
-20328.129,45,17.187606
-20349.174,47,17.209639
-20286.285,41,17.221151
-20297.432,42,17.24095
-20306.715,43,17.275136
-20318.703,44,17.289163
-20329.24,45,17.307673
-20379.098,50,17.339224
-20321.117,44,17.346739
-20277.086,40,17.367838
-20307.004,43,17.404546
-20265.953,39,17.407553
-20276.613,40,17.422063
