#{"t_start": 1716641042.527058, "env_id": "None"}
r,l,t
-48.0,50,16.698254
-46.0,48,16.73641
-62.0,64,16.753926
-49.0,51,16.766733
-71.0,73,16.853504
-53.0,55,16.923194
-69.0,71,16.961309
-48.0,50,17.069556
-54.0,56,17.0876
-48.0,50,17.137184
-48.0,50,17.149693
-55.0,57,17.217924
-168.0,170,17.322704
-66.0,68,17.322704
-68.0,70,17.389361
-68.0,70,17.429534
-73.0,75,17.445059
-94.0,96,17.59745
-72.0,74,17.624542
-86.0,88,17.65513
-81.0,83,17.757767
-101.0,103,17.793366
-92.0,94,17.794362
-84.0,86,17.978783
-82.0,84,18.009287
-113.0,115,18.050887
-83.0,85,18.097625
-94.0,96,18.142567
-89.0,91,18.184318
-89.0,91,18.325215
-95.0,97,18.412157
-133.0,151,18.46728
-105.0,107,18.486324
-86.0,88,18.627154
-83.0,85,18.65573
-79.0,81,18.667244
-76.0,78,18.758609
-80.0,82,18.908465
-85.0,87,18.935503
-89.0,91,19.008604
-82.0,84,19.044696
-93.0,95,19.086358
-94.0,96,19.249287
-93.0,95,19.275536
-113.0,115,19.347237
-121.0,123,19.43612
-101.0,103,19.43712
-107.0,109,19.59218
-95.0,97,19.676182
-118.0,120,19.706297
-117.0,119,19.789667
-128.0,130,19.866816
-148.0,160,20.128236
-228.0,230,20.152267
-85.0,199,20.273926
-162.0,164,20.376473
-247.0,249,20.71617
-173.0,175,20.851213
-245.0,247,20.85267
-110.0,112,21.019285
-180.0,182,21.271734
-232.0,234,21.581692
-151.0,319,21.835353
-109.0,111,22.013816
-201.0,203,22.018834
-186.0,214,22.538392
-150.0,178,22.589733
-138.0,238,23.074867
-496.0,500,23.358819
-359.0,361,23.46454
-99.0,101,23.731348
-287.0,289,24.134154
-145.0,147,24.188401
-181.0,183,24.546392
-268.0,270,24.972003
-263.0,265,24.994068
-170.0,172,25.003585
-155.0,157,25.371086
-185.0,187,25.437739
-208.0,210,25.470834
-229.0,231,25.86459
-230.0,232,26.061492
-250.0,252,26.133574
-137.0,139,26.226939
-162.0,164,26.568568
-131.0,133,26.579083
-77.0,79,26.801803
-74.0,76,26.805322
-151.0,153,26.805322
-90.0,92,27.041743
-131.0,133,27.108844
-153.0,155,27.14096
-121.0,123,27.2515
-168.0,170,27.470567
-172.0,174,27.504115
-76.0,78,27.718653
-164.0,166,27.719652
-72.0,74,27.753241
-108.0,110,27.925146
-182.0,184,28.178988
-204.0,206,28.26853
-179.0,181,28.495545
-144.0,146,28.917481
-213.0,215,28.920494
-314.0,352,29.250008
-195.0,197,29.574986
-101.0,103,29.581511
-185.0,225,29.630126
-78.0,80,29.781033
-74.0,76,29.934955
-100.0,102,29.934955
-72.0,74,30.120543
-79.0,81,30.147901
-76.0,78,30.443986
-129.0,131,30.669369
-216.0,246,30.700947
-95.0,97,30.778191
-74.0,76,31.072476
-84.0,168,31.264956
-132.0,134,31.273466
-95.0,115,31.521739
-72.0,74,31.617536
-81.0,83,31.654628
-171.0,173,32.068297
-132.0,154,32.139996
-100.0,102,32.418661
-84.0,86,32.419657
-80.0,82,32.742422
-81.0,83,32.748945
-369.0,377,32.903161
-136.0,138,33.121598
-148.0,150,33.146136
-98.0,100,33.458354
-100.0,102,33.482732
-229.0,231,33.549413
-116.0,118,33.762907
-126.0,128,33.801988
-91.0,93,33.833563
-98.0,100,33.955965
-89.0,91,34.086345
-82.0,84,34.094875
-121.0,123,34.282388
-115.0,117,34.306434
-135.0,137,34.43728
-144.0,146,34.713587
-80.0,82,34.879634
-221.0,223,34.896019
-206.0,208,34.90754
-153.0,155,35.306057
-166.0,168,35.361226
-90.0,92,35.642671
-300.0,302,35.696948
-182.0,184,36.1795
-310.0,312,36.195054
-171.0,173,36.223644
-215.0,217,36.693571
-206.0,208,36.70409
-240.0,242,36.731742
-101.0,103,36.978045
-70.0,72,37.199488
-173.0,175,37.248622
-177.0,179,37.269671
-98.0,100,37.409726
-73.0,75,37.60228
-81.0,83,37.735084
-297.0,329,37.911411
-375.0,377,38.042155
-72.0,74,38.049163
-234.0,236,38.277432
-272.0,274,38.64677
-250.0,252,38.848628
-399.0,401,38.940854
-188.0,190,39.147798
-229.0,231,39.429341
-206.0,208,39.479478
-146.0,148,39.787367
-366.0,374,40.08769
-279.0,327,40.314611
-185.0,187,40.584927
-172.0,174,40.830693
-83.0,85,41.175542
-500.0,500,41.236657
-226.0,228,41.658457
-500.0,500,41.90012
-260.0,296,42.397235
-500.0,500,42.416278
-260.0,262,42.524545
-133.0,135,42.769323
-157.0,159,42.797888
-252.0,254,43.199117
-286.0,288,43.487999
-216.0,218,43.735946
-129.0,131,43.822112
-416.0,500,44.044831
-100.0,102,44.114487
-132.0,154,44.135521
-111.0,113,44.492994
-123.0,125,44.499619
-148.0,150,44.90871
-162.0,164,44.97488
-365.0,487,45.431874
-213.0,215,45.540674
-357.0,359,45.979734
-206.0,258,46.088124
-245.0,247,46.129197
-102.0,104,46.241662
-67.0,69,46.332854
-193.0,225,46.65874
-207.0,209,46.705157
-162.0,164,46.718176
-173.0,175,47.217771
-170.0,172,47.224292
-400.0,402,47.861703
-256.0,258,48.035075
-326.0,328,48.190408
-222.0,224,48.568925
-253.0,255,48.877248
-209.0,263,49.116338
-188.0,190,49.177982
-127.0,129,49.233121
-185.0,187,49.656964
-238.0,240,49.710108
-247.0,249,49.933675
-230.0,232,50.53283
-390.0,392,50.643623
-78.0,80,50.669744
-413.0,415,50.841668
-67.0,69,50.863715
-69.0,71,50.88426
-86.0,88,50.979042
-66.0,68,51.21515
-179.0,181,51.317898
-187.0,189,51.403635
-71.0,73,51.415154
-68.0,70,51.556507
-67.0,69,51.583595
-66.0,68,51.610652
-84.0,86,51.707834
-117.0,135,51.925899
-136.0,168,51.969516
-110.0,112,51.982105
-79.0,81,52.158639
-69.0,71,52.182659
-71.0,73,52.199185
-70.0,72,52.298944
-248.0,250,52.785782
-199.0,201,52.794309
-67.0,69,52.894622
-330.0,332,52.937793
-64.0,66,53.077653
-65.0,67,53.118665
-71.0,73,53.249491
-66.0,68,53.305897
-264.0,266,53.48941
-96.0,98,53.573616
-122.0,124,53.581145
-120.0,122,53.891345
-181.0,183,53.897848
-133.0,135,53.900857
-172.0,174,54.29592
-175.0,177,54.304436
-210.0,212,54.464871
-109.0,111,54.628825
-237.0,239,54.986461
-134.0,136,54.992464
-235.0,237,55.115305
-131.0,133,55.424944
-217.0,219,55.627839
-247.0,249,55.704549
-174.0,176,55.820174
-93.0,95,56.092963
-64.0,66,56.189188
-285.0,287,56.390782
-288.0,290,56.390782
-309.0,311,57.037016
-293.0,295,57.164511
-85.0,87,57.241258
-82.0,84,57.455442
-71.0,73,57.504574
-500.0,500,57.79145
-276.0,278,58.128605
-233.0,235,58.285596
-486.0,488,58.748262
-336.0,338,59.171149
-203.0,205,59.214736
-64.0,66,59.430999
-500.0,500,59.470001
-157.0,159,59.755217
-397.0,399,60.548184
-327.0,329,60.634133
-479.0,481,60.824659
-193.0,195,61.218084
-191.0,193,61.306792
-417.0,419,61.826759
-433.0,435,62.568691
-305.0,307,62.662065
-442.0,444,62.681119
-84.0,86,62.931323
-89.0,91,62.967432
-271.0,273,63.325518
-171.0,173,63.618573
-75.0,77,63.672853
-216.0,218,63.672853
-301.0,303,64.4821
-346.0,348,64.507254
-318.0,320,64.507254
-65.0,67,64.683684
-70.0,72,64.729305
-71.0,73,64.729305
-75.0,77,64.891005
-71.0,73,64.995341
-73.0,75,65.005873
-282.0,284,65.665076
-385.0,387,66.042992
-391.0,393,66.060048
-402.0,404,66.70083
-342.0,344,66.819705
-108.0,110,66.978116
-55.0,57,66.999162
-418.0,420,67.01246
-195.0,197,67.43687
-224.0,226,67.510073
-279.0,281,67.732084
-146.0,148,67.853422
-183.0,185,68.229893
-182.0,184,68.289065
-83.0,85,68.452464
-343.0,345,68.466976
-69.0,71,68.492539
-70.0,72,68.575786
-69.0,71,68.653996
-72.0,74,68.694077
-97.0,99,68.867965
-114.0,116,68.868964
-92.0,94,69.138889
-99.0,101,69.154927
-246.0,248,69.195822
-126.0,128,69.543235
-157.0,159,69.557294
-168.0,170,69.563299
-65.0,67,69.781291
-66.0,68,69.853994
-65.0,67,69.861523
-67.0,69,69.978633
-69.0,71,70.016245
-73.0,75,70.112546
-73.0,75,70.268773
-86.0,88,70.328956
-188.0,190,70.61737
-137.0,139,70.638424
-69.0,71,70.856014
-204.0,206,70.909633
